name,salary_from,salary_to,salary_currency,area_name,published_at
ИТ-специалист,,,,Екатеринбург,2022-12-18T07:28:23+0300
Помощник механика на станок (производство),230000,250000,KZT,Алматы,2022-12-18T07:21:57+0300
Директор департамента управления проектами,,,,Алматы,2022-12-18T07:08:20+0300
Аналитик,,,,Бишкек,2022-12-18T07:15:25+0300
Специалист по информационной безопасности,,,,Алматы,2022-12-18T07:09:13+0300
Наладчик оборудования,50000,50000,RUR,Красноярск,2022-12-18T07:10:50+0300
Программист,70000,,RUR,Челябинск,2022-12-18T07:46:48+0300
Системный администратор,45000,,RUR,Пермь,2022-12-18T07:01:12+0300
"Оператор Склада - Мой Склад,1с Управление Торговлей",50000,,RUR,Москва,2022-12-18T07:57:10+0300
Механик холодильного оборудования(с обучением),50000,,RUR,Новокузнецк,2022-12-18T07:28:07+0300
Системный администратор,,30000,RUR,Тула,2022-12-18T07:35:12+0300
Frontend разработчик,80000,,RUR,Томск,2022-12-18T07:10:34+0300
Программист 1С,40000,,RUR,Челябинск,2022-12-18T07:15:19+0300
Руководитель отдела управления НСИ (MDM),200000,,RUR,Екатеринбург,2022-12-18T07:31:31+0300
2D Artist (Creatives),,,,Санкт-Петербург,2022-12-18T07:16:47+0300
Руководитель интернет-проектов / Руководитель IT-проектов,120000,,RUR,Москва,2022-12-18T07:28:47+0300
Инженер первой линии поддержки (системный администратор),45000,50000,RUR,Новосибирск,2022-12-18T07:47:35+0300
Приемщик в компьютерный сервисный центр,40000,45000,RUR,Москва,2022-12-18T07:09:38+0300
QA Engineer (тестировщик ПО),,,,Астана,2022-12-18T07:07:06+0300
Оператор чпу,40000,,RUR,Барнаул,2022-12-18T07:15:09+0300
Сервисный специалист по обслуживанию и ремонту оборудования,60000,100000,RUR,Новосибирск,2022-12-18T07:10:33+0300
Зубной техник (цифровой дизайн),150000,,RUR,Москва,2022-12-18T07:55:10+0300
Менеджер проектных продаж,80000,,RUR,Самара,2022-12-18T07:41:05+0300
Программист 1С,110000,,RUR,Красноярск,2022-12-18T07:24:45+0300
Инженер проектов (по автоматике),,,,Москва,2022-12-18T07:26:45+0300
Оператор станка с ЧПУ,55000,70000,RUR,Рязань,2022-12-18T07:46:45+0300
Системный аналитик (junior/middle),,,,Новосибирск,2022-12-18T07:04:40+0300
Менеджер-дизайнер,,,,Красноярск,2022-12-18T07:33:47+0300
Механик/Наладчик технологического оборудования,2000,,BYR,Минск,2022-12-18T07:53:55+0300
Junior С# (ASP.NET/Xamarin) Developer,,,,Бишкек,2022-12-18T07:59:36+0300
Backend разработчик,80000,,RUR,Томск,2022-12-18T07:07:26+0300
Старший аккаунт менеджер / Senior account manager (digital),,,,Москва,2022-12-18T07:50:55+0300
Мастер по ремонту телефонов и ноутбуков,100000,,RUR,Владивосток,2022-12-18T07:18:35+0300
Оператор на станок ЧПУ,40000,40000,RUR,Челябинск,2022-12-18T07:20:39+0300
Сервисный инженер по медицинской технике,,,,Алматы,2022-12-18T07:55:29+0300
Системный администратор Linux,60000,,RUR,Пенза,2022-12-18T07:24:23+0300
Программист 1С,110000,,RUR,Хабаровск,2022-12-18T07:24:45+0300
Erlang разработчик,,,,Санкт-Петербург,2022-12-18T07:11:37+0300
Программист 1С,110000,,RUR,Иркутск,2022-12-18T07:24:45+0300
Электромеханик по ремонту электрооборудования (тиристорных приводов) слепого скипового ствола,,,,Мирный (Республика Саха (Якутия)),2022-12-18T07:08:24+0300
Аналитик-консультант 1С,,,,Новосибирск,2022-12-18T07:58:48+0300
Специалист отдела внедрения,70000,,RUR,Томск,2022-12-18T07:14:04+0300
Руководитель проектов,100000,150000,RUR,Березовский (Свердловская область),2022-12-18T07:47:25+0300
Директор СТО,110000,,RUR,Тюмень,2022-12-18T07:54:47+0300
C# разработчик,,,,Уфа,2022-12-18T07:01:08+0300
Product Manager,,,,Ташкент,2022-12-18T07:53:19+0300
PHP-разработчик,,,,Новосибирск,2022-12-18T07:25:01+0300
Токарь,19900,,RUR,Верхняя Пышма,2022-12-18T07:22:14+0300
Главный инженер производства / Технический директор,,,,Нефтекамск,2022-12-18T07:17:42+0300
C# Developer/Разработчик (Middle),,,,Москва,2022-12-18T07:41:18+0300
Программист 1С,110000,,RUR,Новосибирск,2022-12-18T07:24:45+0300
Механик автотранспортного участка,26000,,RUR,Верхняя Пышма,2022-12-18T07:21:45+0300
Программист 1С,100000,,RUR,Омск,2022-12-18T07:51:31+0300
Наладчик станков с ЧПУ,50000,80000,RUR,Челябинск,2022-12-18T07:20:35+0300
Инфраструктурный инженер,,,,Новосибирск,2022-12-18T07:14:44+0300
Оператор-программист станка с ЧПУ,55000,100000,RUR,Рязань,2022-12-18T07:53:27+0300
